¾­Î³¶È
"-73.94725037,40.76377106"
"-73.98301697,40.75099182"
"-73.99234009,40.7582016"
"-73.98145294,40.74972153"
"-74.00060272,40.7297554"
"-74.00510406,40.71900558"
"-73.98600006,40.762146"
"-73.96633148,40.77342224"
"-73.97655487,40.76569748"
"-73.97658539,40.76493073"
"-73.98602295,40.76156998"
"-73.998909,40.73231125"
"-73.99183655,40.7491951"
"-73.98460388,40.74024582"
"-74.00614929,40.7062912"
"-73.94880676,40.77764893"
"-73.98244476,40.75675964"
"-73.98390961,40.74312592"
"-73.87500763,40.77397156"
"-73.97865295,40.77751923"
"0.0,0.0"
"-74.00416565,40.7312851"
"-74.00107574,40.72917175"
"-73.97931671,40.75632477"
"-73.96108246,40.76470184"
"-74.00827026,40.70769882"
"-74.00318909,40.72053909"
"-73.97331238,40.78274155"
"-73.95262909,40.67713547"
"-73.98775482,40.73798370000001"
"-74.00662231,40.74407959"
"-73.98765564,40.76527023"
"-73.99318695,40.74129868"
"-73.97760773,40.75382614"
"-73.97933959999999,40.75246048"
"-73.96121216,40.7646904"
"-73.99601746,40.7469101"
"-74.00450897,40.73043823"
"-73.99707031,40.73253632"
"-73.96911621,40.76963043"
"-73.78890228,40.64638901"
"-73.94130707,40.78783035"
"-74.00370026,40.73241806"
"-73.99849701,40.72964096"
"-73.99866486,40.72973633"
"-74.00589752,40.73159027"
"-73.99301147,40.73480988"
"-73.97344208,40.75454712"
"-73.97303009,40.76112366"
"-73.97126007,40.75746918"
"-73.77702332,40.64500046"
"-73.96044922,40.71099854"
"-73.8638916,40.76988983"
"-73.78795624,40.64148331"
"-73.8634491,40.77017975"
"-73.98961639,40.71883774"
"-73.79152679,40.64533997"
"-73.98163605,40.72855377"
"-73.95346832,40.7673111"
"-73.9497757,40.66244125"
"-73.96860504,40.75476456"
"-73.97695159999999,40.74738693"
"-74.00328827,40.72710037"
"-73.8744812,40.7740097"
"-73.86316681,40.76997375"
"0.0,0.0"
"-74.00010681,40.71778870000001"
"-73.96262359999999,40.76123047"
"-73.99207306,40.75923157"
"-73.98277283,40.73500061"
"-73.9990921,40.71747208"
"-74.00054932,40.72980881"
"-73.87325287,40.77420044"
"-74.00001526,40.73808289"
"-73.97595978,40.75997925"
"-73.98336029,40.73891449"
"-73.99351501,40.72127151"
"-73.9907608,40.75078201"
"-74.00162506,40.72743607"
"-73.93275452,40.75298691"
"-73.98428345,40.74332809"
"-74.00093079,40.73086548"
"-73.98715973,40.76594162"
"-73.98851776,40.74597168"
"-73.79049683,40.64659119"
"-73.98426819,40.75969315"
"-73.87086487,40.77379608"
"-73.96284485,40.76280212"
"-73.95654297,40.74744797"
"-74.00029755,40.73516846"
"-73.93393707,40.7515564"
"-74.0036087,40.7518425"
"-73.98390198,40.75504303"
"-73.78132629,40.64671326"
"-74.00405121,40.72395325"
"-73.97703552,40.74309921"
"-73.98709106,40.72513962"
"-73.99391937,40.7353096"
"-74.0043335,40.75264359"
"-74.01330566,40.70205688"
"-73.99042511,40.74117279"
"-73.9781189,40.72947311"
"-73.99035645,40.75926208"
"-73.94850922,40.784961700000004"
"-73.95443726,40.78974915"
"-73.98521423,40.74738312"
"-73.99785614,40.75151062"
"-73.981987,40.77127075"
"-73.78982544,40.64690781"
"-73.96115875,40.77182007"
"-73.98400116,40.72543335"
"-73.99169922,40.75267029"
"-73.78223419,40.64469147"
"-73.97826385,40.78819656"
"-73.9897995,40.76227188"
"-73.99332428,40.73326111"
"-73.99250031,40.71400833"
"-74.00752258,40.72665787"
"-74.00731659,40.70499039"
"-73.95543671,40.77275085"
"-73.97867584,40.75719452"
"-73.92366028,40.75327682"
"-73.97186279,40.79450989"
"-73.99111176,40.71746445"
"-73.87501526,40.77398682"
"0.0,0.0"
"-73.98686218,40.73931122"
"-73.99165344,40.76478958"
"-73.93618774,40.74960327"
"-73.96300507,40.77514648"
"-73.9907608,40.76110077"
"-73.78904724,40.64710617"
"-73.97480011,40.75068283"
"-73.78327942,40.64865112"
"-73.95231628,40.78154755"
"-73.98231506,40.76267242"
"-73.99720764,40.7192421"
"-73.99549103,40.72489929"
"-73.96567535,40.76039886"
"-74.0015564,40.73098755"
"-73.96174622,40.76427841"
"-74.00652313,40.739669799999994"
"-73.99005890000001,40.73247147"
"-74.01204681,40.70666885"
"-73.98490143,40.7436142"
"-74.00762939,40.74079514"
"-73.86339569,40.77005768"
"-73.96788025,40.75617599"
"-74.00749207,40.74082184"
"-73.7767868,40.64536667"
"-73.87299347,40.7740593"
"-73.98596954,40.75535965"
"-73.98118591,40.77902222"
"-73.78221893,40.64458847"
"-73.97161865,40.75052643"
"-73.98777771,40.74373627"
"-73.97616577,40.74010849"
"-73.98555756,40.72322083"
"-73.87448883,40.77402878"
"-73.97550964,40.68151855"
"-73.87317657,40.77396011"
"-73.86325836,40.77000809"
"-73.97824859999999,40.68432999"
"-74.00387573,40.74211121"
"-73.99225616,40.72493362"
"-73.87303925,40.77425385"
"-73.99485779,40.72485352"
"-73.9653244,40.76607132"
"-73.95545959,40.76869202"
"-73.99951172,40.7312088"
"-73.97316742,40.67805099"
"-74.00904846,40.71085358"
"-73.9593811,40.76305771"
"-74.00389862,40.72309875"
"-73.9756546,40.74486542"
"-73.9896698,40.73001099"
"-74.00051117,40.72071838"
"-73.99115753,40.73934174"
"-73.97528076,40.73299408"
"-73.78960419,40.64672089"
"-74.00292206,40.72801208"
"-73.77680206,40.64508057"
"-73.99985504,40.738475799999996"
"-73.98631287,40.76198196"
"-73.98355865,40.75544357"
"-73.9765625,40.73948288"
"-73.96824646,40.75990677"
"-73.99133301,40.74502182"
"-73.97225952,40.76337814"
"-73.95953369,40.76440048"
"-73.97108459,40.75538635"
"-73.9750824,40.76174164"
"-73.98049164,40.74251938"
"-73.98741913,40.73588562"
"-73.99295044,40.74281311"
"-73.98117828,40.75320816"
"-73.95697784,40.7750206"
"-73.87297821,40.77412033"
"-73.95736694,40.71299744"
"-73.9890213,40.691963200000004"
"-73.97365570000001,40.75737381"
"-73.98643494,40.72244644"
"-73.98757172,40.73350143"
"-73.9640274,40.75667191"
"-74.00994109999999,40.72089386"
"-74.00469208,40.73033905"
"-73.78398132,40.64863586"
"-73.97757721,40.75417328"
"-73.9995575,40.73352051"
"-74.00702667,40.71886063"
"-73.97959137,40.75238037"
"-73.9724884,40.74047852"
"-73.98297119,40.7610321"
"-73.96078491,40.76562119"
"-73.96012115,40.77370071"
"-73.96810913,40.75545883"
"-74.00724792,40.72836304"
"-73.99749756,40.72153854"
"-73.98065186,40.75366974"
"-73.99472046,40.75040054"
"-74.00495911,40.73539734"
"-73.98695374,40.72108078"
"-74.00202179,40.71955109"
"-73.99324036,40.747509"
"-73.79006958,40.64673615"
"-73.77674103,40.64532089"
"-73.97881317,40.78752136"
"-74.00297546,40.76037216"
"-73.86336517,40.769882200000005"
"-73.95989227,40.76261902"
"-73.98504639,40.76079941"
"-74.00416565,40.70691299"
"-73.99707031,40.71439743"
"-73.96772003,40.75563812"
"-74.00228882,40.72652054"
"-73.9444809,40.79190826"
"-73.94889069,40.781768799999995"
"-73.98906708,40.74803925"
"-73.96759033,40.76296616"
"-73.96950531,40.763107299999994"
"-73.98508453,40.75507355"
"-73.96826935,40.80098343"
"-73.94844818,40.77138138"
"-73.99337769,40.73662567"
"-73.98853302,40.75702667"
"-73.96487427,40.79657364"
"-73.97915649,40.76247025"
"-73.95587158,40.78229141"
"-73.96321869,40.77669525"
"-73.99224091,40.71506882"
"-73.96237946,40.77377319"
"-73.99607849,40.72491074"
"-73.99708557,40.72055435"
"-73.9899292,40.77594757"
"-73.96468353,40.79178619"
"-73.95562744,40.76824570000001"
"-73.98408508,40.73836136"
"-73.98745728,40.72883606"
"-73.97991943,40.73495483"
"-73.98911285,40.73662186"
"-73.98590851,40.73117828"
"-73.78874969,40.64176941"
"-73.97145081,40.74650955"
"-73.97743988,40.75880051"
"-73.9886322,40.73864746"
"-74.00878143,40.7289772"
"-73.96270752,40.758514399999996"
"-73.98121643,40.78155899"
"-74.00804138,40.73946762"
"-73.97377777,40.75229263"
"-73.97859192,40.76668167"
"-73.87449646,40.77408218"
"-73.95271301,40.71399307"
"-73.97433472,40.78358078"
"0.0,0.0"
"-73.97126007,40.76114655"
"-73.78968048,40.64702225"
"-73.95912170000001,40.78338623"
"-73.78974152,40.64707947"
"-73.98999786,40.74347687"
"-73.973526,40.7638092"
"-73.87285614,40.77414703"
"-73.93759155,40.80425644"
"-73.98078918,40.75057983"
"-73.97087859999999,40.76412964"
"-73.99152374,40.75971985"
"-73.98728943,40.73914337"
"-73.95410156,40.78147888"
"-73.9500885,40.77195358"
"-73.86377716,40.76964188"
"-73.98114777,40.7820015"
"-73.97705078,40.74317169"
"-73.98719025,40.73073196"
"-74.00306702,40.74721146"
"-73.97809601,40.75235367"
"-73.99555969,40.74404526"
"-73.97613525,40.7516098"
"-73.98623657,40.75187302"
"-74.00430298,40.72478867"
"-73.95228577,40.7771225"
"-73.78993225,40.64374161"
"-73.9822998,40.74588013"
"-73.98234558,40.77290726"
"-73.93946838,40.75046158"
"-74.00568390000001,40.73668671"
"-73.87300873,40.77408981"
"-74.01557922,40.71134949"
"-73.97919464,40.76691055"
"-73.95213318,40.77724457"
"-73.98918915,40.72656631"
"-73.92293549,40.81713104"
"-73.99938202,40.75460815"
"-74.00849152,40.73394012"
"-73.98238373,40.76855087"
"-73.97550201,40.7244873"
"-73.94519806,40.77867508"
"-73.96760559,40.76295471"
"-73.98234558,40.74594879"
"-74.00593567,40.70614624"
"-73.95236969,40.77690887"
"-73.98974609,40.741668700000005"
"-73.9760437,40.75582886"
"-73.94606781,40.77304077"
"-73.99812317,40.75632477"
"-73.95943451,40.77408981"
"-73.9842453,40.72889328"
"-73.9852829,40.72748566"
"-73.93837738,40.84763336"
